artist_id,P,artist_name,macro_genre,popularity
6eUKZXaKkcviH0Ku9w2n3V,0.8355555555555556,Ed Sheeran,pop,92
6GEykX11lQqp92UVOQQCC7,0.8163265306122449,DJ Premier,hip hop / rap,68
2ExGrw6XpbtUAJHTLtUXUD,0.7999999999999999,Stefflon Don,electronic / dance,68
0haZhu4fFKt0Ag94kZDiz2,0.7999999999999999,Sofía Reyes,latin / urbano,67
7xTKLpo7UCzXSnlH7fOIoM,0.7999999999999999,Redman,hip hop / rap,67
7FNnA9vBm6EKceENgCGRMb,0.7857142857142857,Anitta,pop,82
1Cs0zKBU1kc0i8ypK3B9ai,0.785,David Guetta,electronic / dance,92
0IF46mUS8NXjgHabxk2MCM,0.7777777777777778,Kelis,unknown,66
3oSJ7TBVCWMDMiYjXNiCKE,0.7654320987654322,Kane Brown,country / americana,76
1Xylc3o4UrD53lo9CvFvVg,0.7644444444444444,Zara Larsson,unknown,79
7bvcQXJHkFiN1ppIN3q4fi,0.75,Joss Stone,r&b / soul,59
4RVnAU35WRWra6OZ3CbbMA,0.75,Kylie Minogue,electronic / dance,74
6MDME20pz9RveH9rEXvrOM,0.75,Clean Bandit,unknown,78
4exLIFE8sISLr28sqG1qNX,0.75,Travis Barker,hip hop / rap,69
53XhwfbYqKCa1cC15pYq2q,0.75,Imagine Dragons,unknown,90
7gOdHgIoIKoe4i9Tta6qdD,0.75,Jonas Brothers,unknown,80
37YzpfBeFju8QRZ3g0Ha1Q,0.75,DJ Seinfeld,electronic / dance,55
7guDJrEfX3qb6FEbdPA5qi,0.75,Stevie Wonder,other,78
5H4yInM5zmHqpKIoMNAx4r,0.75,Central Cee,hip hop / rap,85
5XenQ7XfcvQdfIbpLEFaKQ,0.75,GoldLink,unknown,67
3r1XkJ7vCs8kHBSzGvPLdP,0.75,slowthai,hip hop / rap,55
1Oa0bMld0A3u5OTYfMzp5h,0.75,Nate Dogg,other,78
